"DATASET_ACCESSION","EXPERIMENT_ACCESSION","RUN_OR_ANALYSIS_ACCESSION","FILE_ACCESSION","FILE_NAME","UNENCRYPTED_MD5","MD5"
"EGAD00001001288","EGAX00001272929","EGAR00001300488","EGAF00000771644","fastq/MS001801_Muscle_BS_1.run0932_4.33.pair1.fastq.gz","96bef8ee7c8105e49ab4cd60811c5525",
"EGAD00001002705","EGAX00001272929","EGAR00001300488","EGAF00000771644","fastq/MS001801_Muscle_BS_1.run0932_4.33.pair1.fastq.gz","96bef8ee7c8105e49ab4cd60811c5525",
"EGAD00001001288","EGAX00001272931","EGAR00001300498","EGAF00000771724","fastq/MS001901_Muscle_BS_1.run1355_6.33.pair1.fastq.gz","379d0f91ecc6ca066d6e918dede59cea",
"EGAD00001002705","EGAX00001272931","EGAR00001300498","EGAF00000771724","fastq/MS001901_Muscle_BS_1.run1355_6.33.pair1.fastq.gz","379d0f91ecc6ca066d6e918dede59cea",
"EGAD00001001287","EGAX00001272941","EGAR00001300512","EGAF00000771753","fastq/MS002201_Kidney_BS_1.run1129_7.33.pair2.fastq.gz","2658f69a24884ece1bd2656fc8a1b4c2",
"EGAD00001002705","EGAX00001272941","EGAR00001300512","EGAF00000771753","fastq/MS002201_Kidney_BS_1.run1129_7.33.pair2.fastq.gz","2658f69a24884ece1bd2656fc8a1b4c2",
"EGAD00001001282","EGAX00001272789","EGAR00001300263","EGAF00000771900","fastq/MS000201_Mono_BS_2.run0668_7.33.pair2.fastq.gz","e8b51f9f8175b725bfb4135bd2d535ca",
"EGAD00001002705","EGAX00001272789","EGAR00001300263","EGAF00000771900","fastq/MS000201_Mono_BS_2.run0668_7.33.pair2.fastq.gz","e8b51f9f8175b725bfb4135bd2d535ca",
"EGAD00001001282","EGAX00001272802","EGAR00001300284","EGAF00000772009","fastq/MS000204_Mono_BS_1.run0728_2.33.pair2.fastq.gz","9f1ef5789a0744f1437ace80dfbd4b90",
"EGAD00001002705","EGAX00001272802","EGAR00001300284","EGAF00000772009","fastq/MS000204_Mono_BS_1.run0728_2.33.pair2.fastq.gz","9f1ef5789a0744f1437ace80dfbd4b90",
"EGAD00001001279","EGAX00001272987","EGAR00001300579","EGAF00000772156","fastq/MS002701_TC_BS_1.run1353_2.33.pair1.fastq.gz","05d6e0b808b0aedbfe2307181acf1ac0",
"EGAD00001002705","EGAX00001272987","EGAR00001300579","EGAF00000772156","fastq/MS002701_TC_BS_1.run1353_2.33.pair1.fastq.gz","05d6e0b808b0aedbfe2307181acf1ac0",
"EGAD00001001283","EGAX00001273193","EGAR00001300850","EGAF00000772265","fastq/MS012708_TC_ChIP_Input_2.run0446_7.33.pair2.fastq.gz","e36355a5d867235eaef8d9f877f750b5",
"EGAD00001002705","EGAX00001273193","EGAR00001300850","EGAF00000772265","fastq/MS012708_TC_ChIP_Input_2.run0446_7.33.pair2.fastq.gz","e36355a5d867235eaef8d9f877f750b5",
"EGAD00001001279","EGAX00001272829","EGAR00001300330","EGAF00000772305","fastq/MS000601_TC_ChIP_H3K4me1_1.run0770_1.33.pair2.fastq.gz","e35966f74b0481925802e62f9798a683",
"EGAD00001002705","EGAX00001272829","EGAR00001300330","EGAF00000772305","fastq/MS000601_TC_ChIP_H3K4me1_1.run0770_1.33.pair2.fastq.gz","e35966f74b0481925802e62f9798a683",
"EGAD00001001279","EGAX00001272836","EGAR00001300342","EGAF00000772328","fastq/MS000701_TC_ChIP_H3K27me3_1.run0770_6.33.pair1.fastq.gz","b62044c1ca133bc57642e61aca0427e3",
"EGAD00001002705","EGAX00001272836","EGAR00001300342","EGAF00000772328","fastq/MS000701_TC_ChIP_H3K27me3_1.run0770_6.33.pair1.fastq.gz","b62044c1ca133bc57642e61aca0427e3",
"EGAD00001001280","EGAX00001273323","EGAR00001301009","EGAF00000772412","fastq/MS027701_nTC_mRNASeq_1.run1360_6.33.pair1.fastq.gz","9302f282da2f13939b9cf39d47406142",
"EGAD00001002705","EGAX00001273323","EGAR00001301009","EGAF00000772412","fastq/MS027701_nTC_mRNASeq_1.run1360_6.33.pair1.fastq.gz","9302f282da2f13939b9cf39d47406142",
"EGAD00001001280","EGAX00001273345","EGAR00001301031","EGAF00000772559","fastq/MS028801_nTC_mRNASeq_1.run1360_6.33.pair2.fastq.gz","2e6b6823d0998260b1704071925ca3ec",
"EGAD00001002705","EGAX00001273345","EGAR00001301031","EGAF00000772559","fastq/MS028801_nTC_mRNASeq_1.run1360_6.33.pair2.fastq.gz","2e6b6823d0998260b1704071925ca3ec",
"EGAD00001001279","EGAX00001272856","EGAR00001300370","EGAF00000772584","fastq/MS000901_TC_ChIP_Input_1.run0662_3.33.pair2.fastq.gz","5e6826ece9419bd4453edf3ff7877dd9",
"EGAD00001002705","EGAX00001272856","EGAR00001300370","EGAF00000772584","fastq/MS000901_TC_ChIP_Input_1.run0662_3.33.pair2.fastq.gz","5e6826ece9419bd4453edf3ff7877dd9",
"EGAD00001001279","EGAX00001273266","EGAR00001300934","EGAF00000772800","fastq/MS021403_TC_RNASeq_1.run0906_1.33.pair2.fastq.gz","45cba4a4da1425b1e2f82531da9d7b29",
"EGAD00001002705","EGAX00001273266","EGAR00001300934","EGAF00000772800","fastq/MS021403_TC_RNASeq_1.run0906_1.33.pair2.fastq.gz","45cba4a4da1425b1e2f82531da9d7b29",
"EGAD00001001279","EGAX00001273366","EGAR00001301059","EGAF00000772815","fastq/MS032001_TC_ChIP_H3K4me1_1.run1277_8.33.pair1.fastq.gz","b7e933252df5957eef5cee7f0e6d9951",
"EGAD00001002705","EGAX00001273366","EGAR00001301059","EGAF00000772815","fastq/MS032001_TC_ChIP_H3K4me1_1.run1277_8.33.pair1.fastq.gz","b7e933252df5957eef5cee7f0e6d9951",
"EGAD00001001279","EGAX00001272876","EGAR00001300397","EGAF00000772840","fastq/MS001101_TC_BS_1.run0798_6.33.pair2.fastq.gz","f8e782eff3244eec10b5b66824b9f5d1",
"EGAD00001002705","EGAX00001272876","EGAR00001300397","EGAF00000772840","fastq/MS001101_TC_BS_1.run0798_6.33.pair2.fastq.gz","f8e782eff3244eec10b5b66824b9f5d1",
"EGAD00001001288","EGAX00001272892","EGAR00001300421","EGAF00000772989","fastq/MS001201_Muscle_ChIP_H3K4me1_1.run1707_2.33.pair2.fastq.gz","d0e74ab8dccca91c0ccd7125e588d5cd",
"EGAD00001002705","EGAX00001272892","EGAR00001300421","EGAF00000772989","fastq/MS001201_Muscle_ChIP_H3K4me1_1.run1707_2.33.pair2.fastq.gz","d0e74ab8dccca91c0ccd7125e588d5cd",
"EGAD00001001282","EGAX00001273291","EGAR00001300961","EGAF00000773056","fastq/MS025401_Mono_BS_1.run1128_3.33.pair1.fastq.gz","8e5f53ab1baf916a8e13514cb2c84608",
"EGAD00001002705","EGAX00001273291","EGAR00001300961","EGAF00000773056","fastq/MS025401_Mono_BS_1.run1128_3.33.pair1.fastq.gz","8e5f53ab1baf916a8e13514cb2c84608",
"EGAD00001001282","EGAX00001273291","EGAR00001300968","EGAF00000773071","fastq/MS025401_Mono_BS_1.run1355_1.33.pair2.fastq.gz","7b83ed69007e1acec708e81eb9e6727c",
"EGAD00001002705","EGAX00001273291","EGAR00001300968","EGAF00000773071","fastq/MS025401_Mono_BS_1.run1355_1.33.pair2.fastq.gz","7b83ed69007e1acec708e81eb9e6727c",
"EGAD00001001281","EGAX00001273374","EGAR00001301098","EGAF00000773096","fastq/MS032801_Eos_BS_1.run1200_custom2.33.pair1.fastq.gz","03bd9139bc78d8ed72b8e83f5141c014",
"EGAD00001002705","EGAX00001273374","EGAR00001301098","EGAF00000773096","fastq/MS032801_Eos_BS_1.run1200_custom2.33.pair1.fastq.gz","03bd9139bc78d8ed72b8e83f5141c014",
"EGAD00001001278","EGAX00001273309","EGAR00001300994","EGAF00000773326","fastq/MS027001_PrBC_BS_1.run0924_1.33.pair1.fastq.gz","e7605aa320e36da13351cd9d06f75125",
"EGAD00001002705","EGAX00001273309","EGAR00001300994","EGAF00000773326","fastq/MS027001_PrBC_BS_1.run0924_1.33.pair1.fastq.gz","e7605aa320e36da13351cd9d06f75125",
